"Tanggal Pembelian","No Invoice","Nama Supplier","Nama Barang","Jumlah","Satuan","Harga Satuan","Total Harga","Harga Jual"
"2026-06-10","INV/2026/06/0101","Sumber Biru Unggas","Ayam Cut 1kg isi 10",254.6,"kg",29000,7383400,0
"2026-06-10","INV/2026/06/0102","Ida Minyak","Minyak Goreng",10,"liter",18500,185000,0
"2026-06-10","INV/2026/06/0103","Rudi Beras","Beras",120,"kg",14000,1680000,0
"2026-06-10","INV/2026/06/0104","Tedy Telur","Telur",3,"kg",23600,70800,0
"2026-06-10","INV/2026/06/0105","Yosua Buah","Buah Semangka",380,"kg",13000,4940000,0
"2026-06-10","INV/2026/06/0106","April Tahu","Tahu Putih Besar",1079,"Pcs",1000,1079000,0
"2026-06-10","INV/2026/06/0107","Ida Minyak","MInyak Goreng",60,"liter",18500,1110000,0
"2026-06-10","INV/2026/06/0108","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-10","INV/2026/06/0109","Yuyun Pagu","Tepung Terigu 25kg",1,"sack",221000,221000,0
"2026-06-10","INV/2026/06/0109","Yuyun Pagu","Kelapa utuh",20,"biji",7000,140000,0
"2026-06-10","INV/2026/06/0110","Lailita Ngasem","Tempe",95,"kotak",12000,1140000,0
"2026-06-10","INV/2026/06/0111","Lailita Ngasem","Kecap Bango 750gr",7,"Pcs",26600,186200,0
"2026-06-10","INV/2026/06/0111","Lailita Ngasem","Tepung Panir",30,"kg",17500,525000,0
"2026-06-11","INV/2026/06/0112","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-11","INV/2026/06/0113","Anto Tempe","Tempe",250,"pcs",5500,1375000,0
"2026-06-11","INV/2026/06/0114","Ida Minyak","Minyak Goreng",40,"liter",18500,740000,0
"2026-06-11","INV/2026/06/0115","Rudi Beras","Beras",90,"kg",14000,1260000,0
"2026-06-11","INV/2026/06/0116","April Tahu","Tahu Putih",1270,"pcs",1000,1270000,0
"2026-06-11","INV/2026/06/0117","Ida Minyak","Minyak Goreng",60,"liter",18500,1110000,0
"2026-06-14","INV/2026/06/0118","Tedy Telur","Telur Ayam",111,"kg",23700,2630700,0
"2026-06-15","INV/2026/06/0119","Tedy Telur","Telur Ayam",156,"kg",23700,3697200,0
"2026-06-15","INV/2026/06/0120","Siera Grosir Susu","Susu Frisian Flag",57,"karton",114000,6498000,0
"2026-06-15","INV/2026/06/0121","Rudi Beras","Beras",90,"kg",14000,1260000,0
"2026-06-15","INV/2026/06/0122","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-15","INV/2026/06/0123","Yosua Buah","Apel Manalagi",160,"kg",27000,4320000,0
"2026-06-15","INV/2026/06/0124","Yosua Buah","Buah Melon",380,"kg",13000,4940000,0
"2026-06-15","INV/2026/06/0125","Ida Minyak","Minyak Goreng",60,"liter",18500,1110000,0
"2026-06-15","INV/2026/06/0126","Ida Minyak","Minyak Goreng",20,"liter",18500,370000,0
"2026-06-15","INV/2026/06/0127","Puji Sayur dan Buah Bumbu","Totole Kaldu Jamur",1,"kg",121000,121000,0
"2026-06-15","INV/2026/06/0127","Puji Sayur dan Buah Bumbu","Delmonte Saos Tomat 1kg",5,"pcs",19000,95000,0
"2026-06-15","INV/2026/06/0127","Puji Sayur dan Buah Bumbu","Knorr Chicken",5,"kg",101000,505000,0
"2026-06-15","INV/2026/06/0128","Puji Sayur dan Buah Bumbu","Knorr Rostip",1,"kg",75000,75000,0
